# GSpot Codec Database for GSpot v2.7
# rev 2.7   Feb 18, 2007
#
[video codecs]
EM2V	Etymonix MPEG-2 I-frame	http://www.etymonix.com/	-
EMWC	EverAd Marquee WMA codec.	EverAd, Inc.	-
ENCA	ISMA Encrypted/Protected audio	~ISOMP4	http://www.isma.tv/
ENCV	ISMA Encrypted/Protected video	~ISOMP4	http://www.isma.tv/
EQK0	Elsa graphics card quick codec	-	-
ESCP	Escape	Eidos Technologies	-
ETV1	eTreppid Video Codec	eTreppid Technologies	-
ETV2	eTreppid Video Codec	eTreppid Technologies	-
ETVC	eTreppid Video Codec	eTreppid Technologies	-
FFDS	ffds Lossless Video	FFmpeg	http://www1.mplayerhq.hu/~michael/ffv1.html
FFV1	ffds Lossless Video	FFmpeg	http://www1.mplayerhq.hu/~michael/ffv1.html
FFVH	FFmpeg Lossless HuffYUV (open source)	ffmpeg	http://ffmpeg.mplayerhq.hu/
FLIC	Autodesk FLI/FLC Animation	http://www.autodesk.com	http://www.autodesk.com/
FLJP	Field Encoded Motion JPEG	D-Vision	-
FLV1	Flash Sorenson Video	Sorenson Media	http://www.sorensonmedia.com/
FLV4	Flash VP6	On2 Technologies	http://www.on2.com
FMJP	D-Vision fieldbased ISO MJPEG	-	-
FMP4	FFmpeg/ffdshow ISO MPEG-4	FFmpeg/ffdshow (open source)	http://ffmpeg.mplayerhq.hu/
FPS1	FRAPS Codec	beepa	http://www.fraps.com/
FRLE	SoftLab-NSK Y16 + Alpha RLE	-	-
FRWA	Forward Motion JPEG w/alpha	SoftLab-Nsk	-
FRWD	Forward Motion JPEG	SoftLab-Nsk	-
FRWT	Darim Vision Forward Motion JPEG	Darim Vision Co., Ltd.	http://www.darvision.com/
FRWU	Darim Vision Forward Uncompressed	Darim Vision Co., Ltd.	http://www.darvision.com/
FSV1	FFmpeg Flash Screen video	ffmpeg (open source)	http://ffmpeg.mplayerhq.hu/
FVF1	Fractal Video Frame	Iterated Systems, Inc.	-
FVFW	ff MPEG-4 based on XviD codec	-	-
FXT1	Not specified.	3dfx Interactive, Inc.	-
G2M2	GoToMeeting/GoToWebinar Codec v2.x	Citrix Systems, Inc.	http://www.gotomeeting.com/
G2M3	GoToMeeting/GoToWebinar Codec v3.x	Citrix Systems, Inc.	http://www.gotomeeting.com/
G726	ITU-T Recommendation G.726 (1990)	~ISOMP4	http://www.sdcard.org/
GEPJ	Motion JPEG Codec	White Pine (ex Paradigm Matrix)	-
GJPG	Grand Tech GT891x Codec	-	-
GLCC	GigaLink AV Capture codec	-	-
GLZW	Motion LZW	gabest@freemail.hu	-
GPEG	Motion JPEG	gabest@freemail.hu	-
GPJM	Pinnacle ReelTime MJPEG Codec	-	-
GREY	Apparently a duplicate of Y800	-	-
GWLT	Microsoft Greyscale WLT DIB	Microsoft	http://www.microsoft.com
GXVE	SoftMedia ViVD V2	SoftMedia	-
H260	H.260	ITU-T 	-
H261	H.261	ITU-T 	-
H262	H.262	ITU-T 	-
H263	H.263	ITU-T 	-
H264	H.264/MPEG-4 AVC	ITU-T/ISO/IEC 	-
H265	Intel ITU H.265	-	-
H266	Intel ITU H.266	-	-
H267	Intel ITU H.267	-	-
H268	Intel ITU H.268	-	-
H269	Intel ITU H.263 for POTS-based videoconferencing	-	-
HD10	BlueFish444 (lossless RGBA, YUV 10-bit)	-	-
HDX4	HDX4 MPEG-4 Codec	JOMIGO GmbH.	http://www.hdx4.com/
HFYU	Huffyuv Lossless Codec	Open Source	http://neuron2.net/www.math.berkeley.edu/benrg/huffyuv.html
HM12	Hauppauge PVR 250/350 MB-YUV Format	Hauppauge	-
HMCR	Rendition Motion Compensation Format	Rendition	-
HMRR	Rendition Motion Compensation Format	Rendition	-
I263	H.263	ITU-T	-
I420	RAW I420	*No Decoder Needed	-
IAN 	Intel RDX.	Intel Corporation	-
ICLB	CellB Videoconferencing Codec	InSoft	-
IDM0	IDM Motion Wavelets 2.0	-	-
IF09	Indeo YVU9 (YVU9 with additional delta-frame info after the U plane)	*No codec needed	-
IFO9	Intel intermediate YUV9.	Intel Corporation	-
IGOR	Power DVD	?	-
IJPG	Intergraph JPEG	Intergraph	-
ILVC	Layered Video	Intel	-
ILVR	H.263	ITU-T	-
IMAC	Intel hardware motion compensation.	Intel Corporation	-
IMC1	As YV12, except the U and V planes have same stride as the Y plane	-	-
IMC2	Similar to IMC1, w/ U and V lines interleaved at half stride boundaries	-	-
IMC3	As IMC1, except that U and V are swapped	-	-
IMC4	As IMC2, except that U and V are swapped	-	-
IMG 	Apple RGB	Apple	http://www.apple.com
